Rank,Probability,Label,SOC code,Occupation,2010 SOC Code,2010 SOC Title,2018 SOC Code,2018 SOC Title
614,0.95,,51-8011,Nuclear power reactor operators,51-8011,Nuclear Power Reactor Operators,51-8011,Nuclear Power Reactor Operators
615,0.95,,33-9031,Gaming surveillance officers and gaming investigators,33-9031,Gaming Surveillance Officers and Gaming Investigators,33-9031,Gambling Surveillance Officers and Gambling Investigators
616,0.95,,43-4121,"Library assistants, clerical",43-4121,"Library Assistants, Clerical",43-4121,"Library Assistants, Clerical"
617,0.95,,47-2073,Operating engineers and other construction equipment operators,47-2073,Operating Engineers and Other Construction Equipment Operators,47-2073,Operating Engineers and Other Construction Equipment Operators
618,0.95,,51-5113,Print binding and finishing workers,51-5113,Print Binding and Finishing Workers,51-5113,Print Binding and Finishing Workers
619,0.95,,45-2021,Animal breeders,45-2021,Animal Breeders,45-2021,Animal Breeders
620,0.95,,51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
621,0.95,1.0,51-2022,Electrical and electronic equipment assemblers,51-2022,Electrical and Electronic Equipment Assemblers,51-2022,Electrical and Electronic Equipment Assemblers
622,0.95,,51-9191,Adhesive bonding machine operators and tenders,51-9191,Adhesive Bonding Machine Operators and Tenders,51-9191,Adhesive Bonding Machine Operators and Tenders
623,0.95,,37-3011,Landscaping and groundskeeping workers,37-3011,Landscaping and Groundskeeping Workers,37-3011,Landscaping and Groundskeeping Workers
624,0.95,,51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
625,0.95,,43-5051,Postal service clerks,43-5051,Postal Service Clerks,43-5051,Postal Service Clerks
626,0.95,,51-9071,Jewelers and precious stone and metal workers,51-9071,Jewelers and Precious Stone and Metal Workers,51-9071,Jewelers and Precious Stone and Metal Workers
627,0.96,,43-5032,"Dispatchers, except police, fire, and ambulance",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
628,0.96,,43-4171,Receptionists and information clerks,43-4171,Receptionists and Information Clerks,43-4171,Receptionists and Information Clerks
629,0.96,,43-9061,"Office clerks, general",43-9061,"Office Clerks, General",43-9061,"Office Clerks, General"
630,0.96,,11-3111,Compensation and benefits managers,11-3111,Compensation and Benefits Managers,11-3111,Compensation and Benefits Managers
631,0.96,1.0,43-2011,"Switchboard operators, including answering service",43-2011,"Switchboard Operators, Including Answering Service",43-2011,"Switchboard Operators, Including Answering Service"
632,0.96,,35-3022,"Counter attendants, cafeteria, food concession, and Coffee Shop",35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3023,Fast Food and Counter Workers (##)
633,0.96,,47-5051,"Rock splitters, quarry",47-5051,"Rock Splitters, Quarry",47-5051,"Rock Splitters, Quarry"
634,0.96,,43-6014,"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
635,0.96,,17-3031,Surveying and mapping technicians,17-3031,Surveying and Mapping Technicians,17-3031,Surveying and Mapping Technicians
636,0.96,,51-7031,"Model makers, wood",51-7031,"Model Makers, Wood",51-7031,"Model Makers, Wood"
637,0.96,,51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
638,0.96,,53-4011,Locomotive engineers,53-4011,Locomotive Engineers,53-4011,Locomotive Engineers
639,0.96,1.0,39-3011,Gaming dealers,39-3011,Gaming Dealers,39-3011,Gambling Dealers
640,0.96,,49-9093,"Fabric menders, except garment",49-9093,"Fabric Menders, Except Garment",49-9099,"Installation, Maintenance, and Repair Workers, All Other (##)"
641,0.96,,35-2014,"Cooks, restaurant",35-2014,"Cooks, Restaurant",35-2014,"Cooks, Restaurant"
642,0.96,,39-3031,"Ushers, lobby attendants, and ticket takers",39-3031,"Ushers, Lobby Attendants, and Ticket Takers",39-3031,"Ushers, Lobby Attendants, and Ticket Takers"
643,0.96,,43-3021,Billing and posting clerks,43-3021,Billing and Posting Clerks,43-3021,Billing and Posting Clerks
644,0.97,,53-6011,Bridge and lock tenders,53-6011,Bridge and Lock Tenders,53-6011,Bridge and Lock Tenders
645,0.97,,51-7042,"Woodworking machine setters, operators, and tenders, except sawing",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
646,0.97,,51-2092,Team assemblers,51-2092,Team Assemblers,51-2092,Team Assemblers
647,0.97,,51-6042,Shoe machine operators and tenders,51-6042,Shoe Machine Operators and Tenders,51-6042,Shoe Machine Operators and Tenders
648,0.97,,51-2023,Electromechanical equipment assemblers,51-2023,Electromechanical Equipment Assemblers,51-2023,Electromechanical Equipment Assemblers
649,0.97,1.0,13-1074,Farm labour contractors,13-1074,Farm Labor Contractors,13-1074,Farm Labor Contractors
650,0.97,,51-6061,Textile bleaching and dyeing machine operators and tenders,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
651,0.97,,51-9081,Dental laboratory technicians,51-9081,Dental Laboratory Technicians,51-9081,Dental Laboratory Technicians
652,0.97,,51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
653,0.97,,51-9022,"Grinding and polishing workers, hand",51-9022,"Grinding and Polishing Workers, Hand",51-9022,"Grinding and Polishing Workers, Hand"
654,0.97,,37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
655,0.97,,45-4023,Log graders and scalers,45-4023,Log Graders and Scalers,45-4023,Log Graders and Scalers
656,0.97,,51-9083,Ophthalmic laboratory technicians,51-9083,Ophthalmic Laboratory Technicians,51-9083,Ophthalmic Laboratory Technicians
657,0.97,1.0,41-2011,Cashiers,41-2011,Cashiers,41-2011,Cashiers
658,0.97,,49-9061,Camera and photographic equipment repairers,49-9061,Camera and Photographic Equipment Repairers,49-9061,Camera and Photographic Equipment Repairers
659,0.97,,39-3021,Motion picture projectionists,39-3021,Motion Picture Projectionists,39-3021,Motion Picture Projectionists
660,0.97,,51-5111,Prepress technicians and workers,51-5111,Prepress Technicians and Workers,51-5111,Prepress Technicians and Workers
661,0.97,,41-2021,Counter and rental clerks,41-2021,Counter and Rental Clerks,41-2021,Counter and Rental Clerks
662,0.97,1.0,43-4071,File clerks,43-4071,File Clerks,43-4071,File Clerks
663,0.97,,41-9021,Real estate brokers,41-9021,Real Estate Brokers,41-9021,Real Estate Brokers
664,0.97,,43-2021,Telephone operators,43-2021,Telephone Operators,43-2021,Telephone Operators
665,0.97,,19-4011,Agricultural and food science technicians,19-4011,Agricultural and Food Science Technicians (#),19-4012,Agricultural Technicians
665,0.97,,19-4011,Agricultural and food science technicians,19-4011,Agricultural and Food Science Technicians (#),19-4013,Food Science Technicians
666,0.97,,43-3051,Payroll and timekeeping clerks,43-3051,Payroll and Timekeeping Clerks,43-3051,Payroll and Timekeeping Clerks
667,0.97,1.0,43-4041,"Credit authorizers, checkers, and clerks",43-4041,"Credit Authorizers, Checkers, and Clerks",43-4041,"Credit Authorizers, Checkers, and Clerks"
668,0.97,,35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
669,0.98,,41-9012,Models,41-9012,Models,41-9012,Models
670,0.98,,51-9061,"Inspectors, testers, sorters, samplers, and weighers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
671,0.98,,43-3031,"Bookkeeping, accounting, and auditing clerks",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
672,0.98,,43-6012,Legal secretaries,43-6012,Legal Secretaries,43-6012,Legal Secretaries and Administrative Assistants
673,0.98,,27-4013,Radio operators,27-4013,Radio Operators,43-2099,"Communications Equipment Operators, All Other (##)"
674,0.98,,53-3031,Driver/sales workers,53-3031,Driver/Sales Workers,53-3031,Driver/Sales Workers
675,0.98,1.0,13-1031,"Claims adjusters, examiners, and investigators",13-1031,"Claims Adjusters, Examiners, and Investigators",13-1031,"Claims Adjusters, Examiners, and Investigators"
676,0.98,,41-2022,Parts salespersons,41-2022,Parts Salespersons,41-2022,Parts Salespersons
677,0.98,1.0,13-2041,Credit analysts,13-2041,Credit Analysts,13-2041,Credit Analysts
678,0.98,,51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
679,0.98,,43-5071,"Shipping, receiving, and traffic clerks",43-5071,"Shipping, Receiving, and Traffic Clerks",43-5071,"Shipping, Receiving, and Inventory Clerks"
680,0.98,,43-3061,Procurement clerks,43-3061,Procurement Clerks,43-3061,Procurement Clerks
681,0.98,,51-9111,Packaging and filling machine operators and tenders,51-9111,Packaging and Filling Machine Operators and Tenders,51-9111,Packaging and Filling Machine Operators and Tenders
682,0.98,,51-9194,Etchers and engravers,51-9194,Etchers and Engravers,51-9194,Etchers and Engravers
683,0.98,,43-3071,Tellers,43-3071,Tellers,43-3071,Tellers
684,0.98,,27-2023,"Umpires, referees, and other sports officials",27-2023,"Umpires, Referees, and Other Sports Officials",27-2023,"Umpires, Referees, and Other Sports Officials"
685,0.98,,13-1032,"Insurance appraisers, auto damage",13-1032,"Insurance Appraisers, Auto Damage",13-1032,"Insurance Appraisers, Auto Damage"
686,0.98,1.0,13-2072,Loan officers,13-2072,Loan Officers,13-2072,Loan Officers
687,0.98,,43-4151,Order clerks,43-4151,Order Clerks,43-4151,Order Clerks
688,0.98,,43-4011,Brokerage clerks,43-4011,Brokerage Clerks,43-4011,Brokerage Clerks
689,0.98,,43-9041,Insurance claims and policy processing clerks,43-9041,Insurance Claims and Policy Processing Clerks,43-9041,Insurance Claims and Policy Processing Clerks
690,0.98,,51-2093,Timing device assemblers and adjusters,51-2093,Timing Device Assemblers and Adjusters,51-2061,Timing Device Assemblers and Adjusters
691,0.99,1.0,43-9021,Data entry keyers,43-9021,Data Entry Keyers,43-9021,Data Entry Keyers
692,0.99,,25-4031,Library technicians,25-4031,Library Technicians,25-4031,Library Technicians
693,0.99,,43-4141,New accounts clerks,43-4141,New Accounts Clerks,43-4141,New Accounts Clerks
694,0.99,,51-9151,Photographic process workers and processing machine operators,51-9151,Photographic Process Workers and Processing Machine Operators,51-9151,Photographic Process Workers and Processing Machine Operators
695,0.99,,13-2082,Tax preparers,13-2082,Tax Preparers,13-2082,Tax Preparers
696,0.99,,43-5011,Cargo and freight agents,43-5011,Cargo and Freight Agents,43-5011,Cargo and Freight Agents
697,0.99,,49-9064,Watch repairers,49-9064,Watch Repairers,49-9064,Watch and Clock Repairers
698,0.99,1.0,13-2053,Insurance underwriters,13-2053,Insurance Underwriters,13-2053,Insurance Underwriters
699,0.99,,15-2091,Mathematical technicians,15-2091,Mathematical Technicians,15-2099,"Mathematical Science Occupations, All Other (##)"
700,0.99,,51-6051,"Sewers, hand",51-6051,"Sewers, Hand",51-6051,"Sewers, Hand"
701,0.99,,23-2093,"Title examiners, abstractors, and searchers",23-2093,"Title Examiners, Abstractors, and Searchers",23-2093,"Title Examiners, Abstractors, and Searchers"
702,0.99,,41-9041,Telemarketers,41-9041,Telemarketers,41-9041,Telemarketers
