onet_soc_code,synonyms,tasks
51-7031.00,"Craftsman, Model Maker, Sample Builder, Sample Maker",Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.
47-5041.00,"Continuous Miner Operator (CMO), Continuous Mining Machine Operator, Continuous Mining Operator (CMO), Miner Operator","Operate self-propelled mining machines that rip coal, metal and nonmetal ores, rock, stone, or sand from the mine face and load it onto conveyors, shuttle cars, or trucks in a continuous operation."
47-2151.00,"Pipelayer, Tailman, Waste Water Worker","Lay pipe for storm or sanitation sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints."
19-1029.01,"Bioinformaticist, Bioinformatics Scientist, Research Scientist, Scientist","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information."
29-1229.06,"Athletic Team Physician, Physician, Sports Medicine Physician, Team Physician","Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities."
29-2092.00,"Hearing Aid Specialist, Hearing Instrument Dispenser, Hearing Instrument Specialist (HIS), Hearing Specialist","Select and fit hearing aids for customers. Administer and interpret tests of hearing. Assess hearing instrument efficacy. Take ear impressions and prepare, design, and modify ear molds."
11-9131.00,"Distribution Operation Supervisor (SDO), Distribution Operations Manager, Postmaster, Remote Encoding Center Manager","Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."
47-2061.00,"Construction Laborer, Construction Worker, Equipment Operator (EO), Post Framer","Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris, and other waste materials. May assist other craft workers."
39-5094.00,"Aesthetician, Esthetician, Medical Esthetician, Skin Care Specialist",Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.
31-9093.00,"Central Service Technician (CST), Central Sterile Supply Technician (CSS Technician), Certified Registered Central Service Technician (CRCST), Sterile Processing Technician (Sterile Processing Tech)","Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment."
27-1029.00,"We're sorry, the requested page could not be found. Please try the following:",
49-2098.00,"Alarm Technician, Fire Alarm Technician, Installation Technician, Service Technician","Install, program, maintain, and repair security and fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes."
55-1014.00,"We're sorry, the requested page could not be found. Please try the following:",
11-9121.00,"Chemical Process Exploration Manager, Environmental Program Manager, Natural Sciences Manager, Research and Development Director (R and D Director)","Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."
55-1015.00,"We're sorry, the requested page could not be found. Please try the following:",
51-9061.00,"Inspector, Quality Control Inspector (QC Inspector), Quality Inspector, Quality Technician","Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment."
11-9071.00,"Casino Manager, Casino Shift Manager, Slot Manager, Table Games Manager","Plan, direct, or coordinate gambling operations in a casino. May formulate house rules."
29-1029.00,"We're sorry, the requested page could not be found. Please try the following:",
41-4011.00,"Inside Sales Representative, Marketing Representative, Sales Representative","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education."
19-1031.00,"Conservationist, Land Resource Specialist, Research Soil Scientist, Resource Conservationist","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering."
53-3054.00,"Cab Driver, Taxi Cab Driver, Taxi Driver","Drive a motor vehicle to transport passengers on an unplanned basis and charge a fare, usually based on a meter."
39-2021.00,"Aquarist, Dog Groomer, Groomer, Kennel Technician (Kennel Tech)","Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks."
47-2081.00,"Drywall Finisher, Drywall Hanger, Drywall Installer, Metal Framer","Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings, or partitions of buildings to provide support base for plaster, fireproofing, or acoustical material."
23-2099.00,"We're sorry, the requested page could not be found. Please try the following:",
51-4031.00,"Machine Operator, Press Operator, Saw Operator, Set-Up Operator","Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material."
47-4011.01,"Energy Auditor, Energy Consultant, Energy Rater, Home Performance Consultant","Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems."
51-9198.00,"Helper, Material Handler, Press Helper","Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment."
25-9044.00,"Graduate Assistant, Graduate Teaching Assistant (GTA), Research Assistant (RA), Teaching Assistant (TA)","Assist faculty or other instructional staff in postsecondary institutions by performing instructional support activities, such as developing teaching materials, leading discussion groups, preparing and giving examinations, and grading examinations or papers."
17-2151.00,"Mine Engineer, Mining Consultant, Mining Engineer, Project Engineer","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs."
51-4062.00,"Metal Pattern Maker, Pattern Maker, Patternmaker, Wax Molder","Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates."
19-4042.00,"Environmental Health Officer (EHO), Environmental Technician (Environmental Tech), Sanitarian, Soil Lab Technician (Soil Laboratory Technician)","Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing."
29-1071.01,"Anesthesia Assistant, Anesthesia Technician, Anesthesiologist Assistant, Certified Anesthesiologist Assistant",Assist anesthesiologists in the administration of anesthesia for surgical and non-surgical procedures. Monitor patient status and provide patient care during surgical treatment.
39-9011.00,"Child Care Worker, Childcare Provider, Infant Teacher, Toddler Teacher","Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play."
51-3021.00,"Butcher, Meat Clerk, Meat Cutter, Meat Specialist","Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments."
51-9011.00,"Chemical Operator, Multiskill Operator, Outside Operator, Vessel Operator","Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels."
53-6051.00,"Cargo Surveyor, Marine Cargo Surveyor, Marine Surveyor, Petroleum Inspector","Inspect equipment or goods in connection with the safe transport of cargo or people. Includes rail transportation inspectors, such as freight inspectors, rail inspectors, and other inspectors of transportation vehicles not elsewhere classified."
47-5081.00,"Driller Helper, Driller's Assistant, Miner Helper, Powderman","Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill. Duties include supplying equipment or cleaning work area."
35-3041.00,"Food Service Worker, Room Server, Room Service Server, Tray Server","Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars."
47-4041.00,"Asbestos Abatement Worker, Asbestos Remover, Asbestos Worker, Waste Handling Technician","Identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil. Specialized training and certification in hazardous materials handling or a confined entry permit are generally required. May operate earth-moving equipment or trucks."
25-1124.00,"French Professor, Professor, Spanish Instructor, Spanish Professor",Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
33-3052.00,"Patrolman, Railroad Police, Railroad Police Officer, Transit Police Officer","Protect and police railroad and transit property, employees, or passengers."
19-3039.00,"We're sorry, the requested page could not be found. Please try the following:",
55-3015.00,"We're sorry, the requested page could not be found. Please try the following:",
55-2012.00,"We're sorry, the requested page could not be found. Please try the following:",
21-2011.00,"Minister, Pastor, Priest, Rector",Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.
13-1051.00,"Construction Estimator, Cost Analyst, Cost Estimator, Estimator","Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured."
43-4161.00,"Human Resources Administrative Assistant (HR Administrative Assistant), Human Resources Assistant (HR Assistant), Human Resources Associate (HR Associate), Personnel Clerk","Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons."
53-6011.00,"Bridge Operator, Bridge Tender, Lock Tender","Operate and tend bridges, canal locks, and lighthouses to permit marine passage on inland waterways, near shores, and at danger points in waterway passages. May supervise such operations. Includes drawbridge operators, lock operators, and slip bridge operators."
25-1071.00,"Assistant Professor, Associate Professor, Clinical Professor, Professor","Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine."
49-9099.01,"I C and E Technician (Instrumentation, Control, and Electrical Technician); Operations and Maintenance Technician (O and M Technician); Operations Technician; Plant Technician","Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps."
47-4051.00,"Equipment Operator (EO), Highway Maintainer, Highway Maintenance Worker, Transportation Maintenance Specialist (TMS)","Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement and repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road, or plow snow from roadway."
53-7031.00,"Dredge Operator, Dredger","Operate dredge to remove sand, gravel, or other materials in order to excavate and maintain navigable channels in waterways."
47-2073.00,"Equipment Operator (EO), Heavy Equipment Operator (HEO), Machine Operator, Operating Engineer","Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties."
43-5071.00,"Receiver, Receiving Clerk, Shipper, Shipping Clerk",Verify and maintain records on incoming and outgoing shipments involving inventory. Duties include verifying and recording incoming merchandise or material and arranging for the transportation of products. May prepare items for shipment.
39-3099.00,"We're sorry, the requested page could not be found. Please try the following:",
47-2231.00,"PV Installer (Photovoltaic Installer), Solar Installer, Solar PV Installer (Solar Photovoltaic Installer), Solar PV Integrator (Solar Photovoltaic Integrator)","Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks."
47-5049.00,"We're sorry, the requested page could not be found. Please try the following:",
29-9099.00,"We're sorry, the requested page could not be found. Please try the following:",
13-1161.01,"Digital Media Planner, Online Marketing Consultant, Paid Search Strategist, SEO Strategist (Search Engine Optimization Strategist)","Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization."
17-3022.00,"Civil Engineering Technician, Engineer Technician, Engineering Assistant, Engineering Technician","Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists."
29-1141.00,"Charge Nurse, Emergency Department RN (Emergency Department Registered Nurse), Operating Room Registered Nurse (OR RN), Staff Nurse","Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required."
51-2021.00,"Armature Winder, Coil Finisher, Coil Winder, Winder","Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment."
15-1255.00,"Web Architect, Web Design Specialist, Web Designer, Webmaster","Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links."
19-3093.00,"Historian, Historic Sites Registrar, Research Associate, Researcher","Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters."
15-1299.00,"We're sorry, the requested page could not be found. Please try the following:",
23-1021.00,"Administrative Hearings Officer, Administrative Judge, Administrative Law Judge, Hearings Officer","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements."
49-3093.00,"Service Technician, Tire Changer, Tire Shop Mechanic, Tire Technician",Repair and replace tires.
11-3051.00,"Assembly Manager, Manufacturing Manager, Plant Manager, Production Manager","Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
11-9179.00,"We're sorry, the requested page could not be found. Please try the following:",
11-9072.00,,"Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks."
29-1229.05,"Occupational Medicine Physician, Physician, Public Health Officer, Public Health Physician","Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May practice population-based medicine or diagnose and treat patients in the context of clinical health promotion and disease prevention."
25-1042.00,"Associate Professor, Biology Instructor, Biology Professor, Professor",Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
51-9123.00,"Decorator, Glazer, Painter, Pottery Decorator","Paint, coat, or decorate articles, such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather."
25-1052.00,"Assistant Professor, Chemistry Instructor, Chemistry Professor, Professor","Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include providing instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research."
13-1081.00,"Client Services Administrator, Logistician, Production Planner, Supply Management Specialist","Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources."
11-3013.00,"Facilities Director, Facilities Maintenance Manager, Facilities Manager, Facilities Operations Manager (Facilities Ops Manager)","Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus."
51-6031.00,"Sample Maker, Seamstress, Sewer, Sewing Machine Operator","Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products."
27-1027.00,"Display Coordinator, Exhibit Designer, Scenic Designer, Set Designer","Design special exhibits and sets for film, video, television, and theater productions. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles."
43-4021.00,"Correspondence Clerk, Correspondence Coordinator, Correspondence Representative (Correspondence Rep), Dispute Resolution Analyst","Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate reply and preparing correspondence."
21-1099.00,"We're sorry, the requested page could not be found. Please try the following:",
51-2022.00,"Assembler, Electrical Assembler, Electronics Assembler, Transformer Assembler","Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries."
17-2199.11,"Power Systems Engineer, Project Engineer, Solar Design Engineer, Solar Designer","Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics."
17-2171.00,"Drilling Engineer, Engineer, Petroleum Engineer, Reservoir Engineer",Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.
13-1141.00,"Benefits Analyst, Benefits Specialist, Compensation Analyst, Compensation Specialist","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs."
29-2012.01,"Histologic Technician, Histology Technician",Prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May assist with research studies.
45-2091.00,"Equipment Operator, Farm Equipment Operator, Loader Operator, Rake Operator","Drive and control equipment to support agricultural activities such as tilling soil; planting, cultivating, and harvesting crops; feeding and herding livestock; or removing animal waste. May perform tasks such as crop baling or hay bucking. May operate stationary equipment to perform post-harvest tasks such as husking, shelling, threshing, and ginning."
25-1032.00,"Assistant Professor, Associate Professor, Instructor, Professor","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
19-4099.00,"We're sorry, the requested page could not be found. Please try the following:",
53-2031.00,"Flight Attendant, In-Flight Crew Member, International Flight Attendant, Purser","Monitor safety of the aircraft cabin. Provide services to airline passengers, explain safety information, serve food and beverages, and respond to emergency incidents."
37-2012.00,"Environmental Services Aide, Environmental Services Worker, Housekeeper, Housekeeping Laundry Worker","Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming."
19-2041.02,"Coastal and Estuary Specialist, Habitat Restoration Specialist, Marine Habitat Resources Specialist, Restoration Ecologist","Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management."
43-4121.00,"Library Aide, Library Assistant, Library Circulation Assistant, Library Clerk","Compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials."
19-4031.00,"Chemical Technician, Laboratory Analyst (Lab Analyst), Laboratory Technician (Lab Tech), Quality Control Technician (QC Tech)","Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences."
11-9032.00,"Elementary Principal, Middle School Principal, Principal, Superintendent","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools."
13-1151.00,"Corporate Trainer, Job Training Specialist, Learning and Development Specialist (L and D Specialist), Training Specialist",Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.
25-1126.00,"Assistant Professor, Philosophy Professor, Professor, Religion Professor","Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
19-3032.00,"I-O Psychologist (Industrial-Organizational Psychologist), Organizational Consultant, Organizational Psychologist, Research Scientist","Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity."
29-1129.01,"Art Psychotherapist, Art Therapist, Board Certified Art Therapist (ATR-BC), Registered Art Therapist (ATR)","Plan or conduct art therapy sessions or programs to improve clients' physical, cognitive, or emotional well-being."
53-7199.00,"We're sorry, the requested page could not be found. Please try the following:",
23-1011.00,"Attorney, Attorney General, Counsel, Lawyer","Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law."
51-6011.00,"Laundry Aide, Laundry Attendant, Laundry Housekeeper, Laundry Worker","Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles."
47-2071.00,"Equipment Operator (EO), Paver Operator, Roller Operator, Screed Operator","Operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways or for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators."
43-2021.00,"411 Directory Assistance Operator (411 Directory Assistance Op), Directory Assistance Operator (Directory Assistance Op), Phone Operator (Telephone Operator), TELECOM Op (Telecommunications Operator)","Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls."
41-9021.00,"Broker, Managing Broker, Real Estate Broker, Realtor","Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans."
51-9081.00,"Dental Ceramist, Dental Laboratory Technician (Dental Lab Tech), Dental Technician (Dental Tech), Denture Technician (Denture Tech)",Construct and repair full or partial dentures or dental appliances.
13-1022.00,"Buyer, Grocery Buyer, Procurement Specialist, Trader","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products."
53-1044.00,"On Car Supervisor, Transportation Supervisor",Supervise and coordinate activities of passenger attendants.
43-5053.00,"Automation Clerk, Distribution Clerk, Mail Handler, Mail Processor","Prepare incoming and outgoing mail for distribution for the United States Postal Service (USPS). Examine, sort, and route mail. Load, operate, and occasionally adjust and repair mail processing, sorting, and canceling machinery. Keep records of shipments, pouches, and sacks, and perform other duties related to mail handling within the postal service. Includes postal service mail sorters and processors employed by USPS contractors."
33-1012.00,"Lieutenant, Patrol Sergeant, Police Captain, Police Sergeant",Directly supervise and coordinate activities of members of police force.
17-3031.00,"Mapping Technician, Photogrammetric Compilation Specialist, Photogrammetric Technician, Survey Technician","Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps."
37-2011.00,"Cleaner, Custodial Worker, Custodian, Janitor","Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk."
45-1011.00,"Farm Supervisor, Harvesting Supervisor, Hatchery Manager, Logging Supervisor","Directly supervise and coordinate the activities of agricultural, forestry, aquacultural, and related workers."
17-2051.00,"Civil Engineer, Design Engineer, Project Engineer, Structural Engineer","Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems."
19-3099.01,"Planner, Program Officer, Transportation Data Programs Manager, Transportation Planner","Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations."
29-1171.00,"ACNP (Acute Care Nurse Practitioner), Family Nurse Practitioner (FNP), Gastroenterology Nurse Practitioner, Nurse Practitioner (NP)","Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education."
33-9011.00,"Animal Control Officer, Animal Enforcement Officer, Animal Park Code Enforcement Officer, Community Service Officer","Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals."
45-2092.00,"Greenhouse Worker, Grower, Harvester, Nursery Worker","Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities."
25-9042.00,"Instructional Assistant, Paraeducator, Paraprofessional, TA (Teacher Assistant)","Assist a preschool, elementary, middle, or secondary school teacher with instructional duties. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services."
19-2011.00,"Astronomer, Astronomy Outreach Coordinator, Astrophysicist, Research Astrophysicist","Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems."
13-2099.01,"Investment Strategist, Portfolio Manager, Quantitative Analyst, Quantitative Equity Analyst","Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis."
19-1029.02,"Molecular Biologist, Research Scientist",Research and study cellular molecules and organelles to understand cell function and organization.
27-2012.00,"Artistic Director, Director, News Producer, Producer","Produce or direct stage, television, radio, video, or film productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography."
29-1213.00,"Board Certified Dermatologist, Dermatologist Physician, MD (Medical Doctor), Mohs Surgeon","Diagnose and treat diseases relating to the skin, hair, and nails. May perform both medical and dermatological surgery functions."
19-1029.00,"We're sorry, the requested page could not be found. Please try the following:",
37-2019.00,"We're sorry, the requested page could not be found. Please try the following:",
51-4061.00,"Metal Model Maker, Model Builder, Model Maker, Molding Technician","Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects. Includes template makers."
11-9199.01,"Compliance Director, Global RA Manager (Global Regulatory Affairs Manager), RA Director (Regulatory Affairs Director), RA Manager (Regulatory Affairs Manager)","Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures."
31-9095.00,"Certified Pharmacist Assistant, Pharmacy Aide, Pharmacy Assistant, Pharmacy Clerk","Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling."
15-2051.02,"Clinical Data Management Director (CDM Director), Clinical Data Management Manager (CDM Manager), Clinical Data Manager, Data Management Manager","Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends."
17-3026.00,"Industrial Engineering Technician, Manufacturing Technology Analyst, Quality Control Engineering Technician (QC Engineering Technician), Quality Technician","Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency."
51-9124.00,"Automotive Painter (Auto Painter), Coater Operator, Paint Technician (Paint Tech), Painter","Set up, operate, or tend spraying or rolling machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials. Includes painters of transportation vehicles such as painters in auto body repair facilities."
55-1019.00,"We're sorry, the requested page could not be found. Please try the following:",
29-1229.03,"MD (Medical Doctor), Physician, Urologist, Urology MD (Urology Medical Doctor)","Diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands."
